,amort,curr_assets,extra_exp,extra_inc,extra_profit_loss,fixed_assets,inc_bef_tax,intang_assets,inventories,material_exp,personnel_exp,sales,subscribed_cap,tang_assets,balsheet_flag,balsheet_length,balsheet_notfullyear,year,nace_main,ind2,ind,urban_m,operates_within_2_years,liquidity_ratio,profit_margin,leverage_ratio,founded_year,Idade_da_empresa,region_m_encoded
332,10581.4814453125,15540.7412109375,6.726632978378864,0.0,-833.3333129882812,11.236843455050003,7.179392633590947,0.0,7.76966025470118,10.577307459598249,19625.92578125,2.499795402371859,10.957946021933285,11.236697027661764,0.0,365,0.0,2012,5510.0,55.0,3.0,3,1,0.8901991793696377,0.016172367068727433,0.24316573527135604,1989,23.0,2
362,0.0,2281.4814453125,0.0,0.0,0.0,0.0,7.093988952916761,0.0,5.855496367476102,8.93115052371462,6096.29638671875,2.3614854021628355,7.524481248257534,0.0,0.0,365,0.0,2012,5610.0,56.0,3.0,2,1,1.9408284796839057,0.07276351648530711,0.37807605208286404,2010,2.0,1
400,49233.33203125,155837.03125,0.0,0.0,0.0,13.566399708946829,8.306261815352364,0.0,10.110993931177186,12.95298235456468,148329.625,13.413872990467972,9.315790903113744,13.566399708946829,0.0,365,0.0,2012,9602.0,96.0,3.0,1,1,0.01958848896298837,0.0041009460398806225,1.133908956893816,2003,9.0,0
412,0.0,3170.370361328125,0.0,0.0,0.0,0.0,7.931098414776163,0.0,7.569430877565126,8.552324367653057,5300.0,2.3545163098372464,5.226741773405311,0.0,0.0,365,0.0,2012,5610.0,56.0,3.0,3,0,1.6979166487852726,0.18857295729442097,0.2891566133492225,1999,13.0,1
436,151.8518524169922,9681.4814453125,0.0,0.0,0.0,4.685896441540018,8.346598194904457,0.0,0.0,10.05147162954271,10933.3330078125,2.4492261175246317,3.6385603402098208,4.685896441540018,0.0,365,0.0,2012,3320.0,33.0,2.0,2,1,0.40975338402316885,0.09646725779174578,2.07683349412509,1999,7.0,0
519,0.0,3337.037109375,0.0,0.0,0.0,0.0,7.283829709549643,0.0,0.0,9.731835591377251,10362.962890625,2.424299185572282,7.524481248257534,0.0,0.0,365,0.0,2012,5610.0,56.0,3.0,3,1,0.7753872964385576,0.04434978621172488,-4.452107092451275,2009,3.0,1
537,2974.073974609375,57300.0,0.0,466.6666564941406,466.6666564941406,10.441957563786088,7.5284711534138395,0.0,9.935967315954944,11.223378425381156,64581.48046875,2.5570580430417427,9.315790903113744,10.441957563786088,0.0,365,0.0,2012,3312.0,33.0,2.0,3,1,0.7310652034176746,0.0,0.29093264559400317,1991,21.0,0
578,311.1111145019531,10151.8515625,0.0,0.0,0.0,7.2580730471115,7.986756767657158,0.0,9.090167018405896,10.190373507389124,5540.74072265625,2.442622228219286,4.318475276683786,7.2580730471115,0.0,365,0.0,2012,5610.0,56.0,3.0,1,1,0.6397306130149149,0.0706588030647701,0.2236445766686528,1992,20.0,0
590,8903.7041015625,197288.890625,0.0,0.0,0.0,11.016579079583327,10.778899973200106,0.0,9.514352251583869,12.146052650460454,43151.8515625,12.613563720813527,5.917199843171274,11.016579079583327,0.0,365,0.0,2012,2899.0,28.0,2.0,1,1,18.199999587790614,0.14210734214486773,0.02734012372964633,2000,12.0,0
607,8488.888671875,195933.328125,0.0,0.0,0.0,10.23708127800658,10.442173669818397,0.0,11.857283712607753,12.731800767161493,193792.59375,12.908503164751462,9.315790903113744,10.23708127800658,0.0,365,0.0,2012,2821.0,28.0,2.0,1,1,0.07854229980062553,0.07693084144029559,0.6217417585640882,1991,21.0,0
613,1859216.75,21375706.0,13.11099759339482,135283.703125,-359064.5625,17.10288934766809,15.333617084684475,70698.2421875,15.50848405548249,17.21367725172786,3593757.0,17.52333072391431,14.628979992080886,17.10024509463473,0.0,365,0.0,2012,2932.0,29.0,1.0,3,1,0.80935281037523,0.10210512743724691,0.3353201462132761,2011,1.0,2
689,8051.85205078125,51792.59375,0.0,0.0,0.0,11.921281909965801,7.209970092712003,0.0,7.797428179521817,5.64361297615363,7707.4072265625,2.378226814292318,9.826580459163543,11.921281909965801,0.0,365,0.0,2012,5610.0,56.0,3.0,1,1,0.2996993913180788,0.0685416703745525,0.16296059516812506,2000,12.0,0
743,2307.407470703125,618.5184936523438,0.0,0.0,0.0,9.384999919280405,8.594339400592892,0.0,0.0,10.819946395278858,9481.4814453125,2.495542550144343,7.524481248257534,9.384999919280405,0.0,292,0.6931471805599453,2012,5610.0,56.0,3.0,1,1,0.029213482001802744,0.07056967387952288,0.15151516171696094,2012,0.0,0
809,500.0,2596.29638671875,0.0,0.0,0.0,5.339494864275788,8.458677020303414,0.0,6.03910768266755,11.060733818786808,22259.259765625,2.519911717008192,5.004940091058004,5.339494864275788,0.0,365,0.0,2012,5610.0,56.0,3.0,2,1,0.5430328183019084,0.0462301824346897,-0.1667805812964546,2004,8.0,0
820,422.2222290039063,3218.5185546875,0.0,0.0,0.0,6.155644114804829,6.93071197501292,0.0,0.0,5.321563591350479,0.0,2.1294520850082517,9.315790903113744,6.155644114804829,0.0,365,0.0,2012,2899.0,28.0,2.0,3,1,0.007985480826222248,0.6188341017604976,-1.220646992639267,1995,7.0,0
879,2348.148193359375,548.1481323242188,0.0,0.0,0.0,10.943781931879723,8.429187392596253,0.0,0.0,9.026359666117814,0.0,2.3578875831412724,4.318475276683786,10.943781931879723,0.0,365,0.0,2012,5590.0,55.0,3.0,3,1,0.19220778970626695,0.28785918297210694,0.1300016858439766,1994,18.0,1
953,581.4815063476562,27974.07421875,0.0,0.0,0.0,11.101792685286874,9.452638592545329,0.0,0.0,9.298985277312847,0.0,2.4091050269463565,10.07029898456441,11.101792685286874,0.0,365,0.0,2012,5630.0,56.0,3.0,1,1,0.9878723452768187,0.0,0.41711114087997136,1996,16.0,0
976,2025.9259033203125,17137.037109375,0.0,0.0,0.0,9.564712275326654,8.76015101211572,0.0,0.0,7.626985230604801,1114.8148193359375,2.336599393844419,10.163037313125784,9.564712275326654,0.0,365,0.0,2012,5520.0,55.0,3.0,3,1,1.2009759836340954,0.5009702647702302,0.473728462087,1998,14.0,1
1001,974.0740966796876,22314.814453125,7.664172820031188,2129.629638671875,0.0,6.752919163288263,9.815520143409284,0.0,0.0,10.799747118501143,66118.515625,2.5509582582782873,7.524481248257534,6.752919163288263,0.0,365,0.0,2012,5610.0,56.0,3.0,3,1,1.9154471592120266,0.07232429629328051,1.063277966495438,2008,7.0,2
1013,41192.59375,126948.1484375,0.0,14444.4443359375,14444.4443359375,12.695382551122345,10.479608674044187,96.29629516601561,10.37837158719023,13.0021129016824,252225.921875,13.531216655842046,9.875368147459017,12.695087381794703,0.0,365,0.0,2012,5610.0,56.0,3.0,2,1,1.8602303607916462,0.026187700315205637,0.15748481620979393,2000,12.0,2
1023,1311.111083984375,47574.07421875,0.0,0.0,0.0,6.761529887861713,9.909997760383762,0.0,0.0,9.781585596543236,3874.073974609375,2.3543378742016072,9.498097417203372,6.761529887861713,0.0,365,0.0,2012,5610.0,56.0,3.0,2,0,1.186605498541333,1.3845741111065524,4.478843564158699,2007,5.0,1
1058,185.1851806640625,14255.5556640625,0.0,0.0,0.0,5.946680222891449,7.536403455852853,0.0,5.589742387274195,11.737143189154134,43540.7421875,2.569322606538242,7.524481248257534,5.946680222891449,0.0,365,0.0,2012,5610.0,56.0,3.0,1,1,1.314160859230512,0.009458297527161376,2.2796681191595582,2011,1.0,0
1069,676185.1875,6277537.0,9.737972871871026,81888.890625,64940.7421875,15.639339348581004,13.486827829199838,222270.375,14.647382512791655,15.959627916043756,2941326.0,16.44552858447168,12.822261497450311,15.60274204131942,0.0,365,0.0,2012,2829.0,28.0,2.0,2,1,0.5491770938154642,0.02691281271850644,0.21490553459285153,1996,16.0,2
1103,17311.111328125,1430563.0,6.536530593349115,0.0,-688.888916015625,13.670160455868066,10.406871060137542,11029.6298828125,10.19550331180774,14.828265349122246,365288.875,15.018717819336965,11.419439393905014,10.48882982609647,0.0,365,0.0,2012,3316.0,33.0,2.0,3,1,3.720287259066683,0.0005237342821820683,0.052720993724332296,1992,7.0,1
1114,30688.888671875,1116688.875,0.0,0.0,0.0,12.852024046463878,7.3737462754788305,0.0,10.516796537386144,15.032138818120073,274759.25,15.12245532011362,10.160176185748217,12.852024046463878,0.0,365,0.0,2012,5629.0,56.0,3.0,2,1,0.02265373354687019,0.0001583778848490443,3.709058692896673,1990,22.0,0
1158,1481.4814453125,49866.66796875,0.0,0.0,0.0,11.356932894591042,9.61759892298711,0.0,0.0,5.834052417955863,0.0,2.472992459093181,9.315790903113744,11.195179725354052,0.0,365,0.0,2012,5610.0,56.0,3.0,1,1,0.7377377401815879,0.23851966972579178,0.028089414489914973,1996,16.0,0
1170,1437.0369873046875,85148.1484375,0.0,0.0,0.0,8.537917670790165,9.693970645027122,0.0,11.182787903113237,12.384687797814324,85951.8515625,12.753190208592569,10.519700640815572,8.537917670790165,0.0,365,0.0,2012,2822.0,28.0,2.0,2,1,0.13753895044611902,0.044574931409034325,3.0973585846401,2002,10.0,1
1248,48.14814758300781,35388.890625,0.0,0.0,0.0,6.897592730788243,8.793853664587456,0.0,0.0,12.596427499917318,2951.851806640625,12.662679911605355,9.315790903113744,6.897592730788243,0.0,365,0.0,2012,3020.0,30.0,1.0,1,0,1.0880609334296631,0.019835776315299813,0.1366740030572634,2003,9.0,0
1262,57681.48046875,20551.8515625,0.0,25062.962890625,25062.962890625,14.048746014267977,11.480680433825466,170.37037658691406,8.033490215657041,12.148468443002976,180537.03125,13.15442365998399,11.910962322646599,14.048317666342712,0.0,365,0.0,2012,5510.0,55.0,3.0,3,1,0.054229043690243645,0.1873628129939852,0.31879388724229746,2000,12.0,1
1314,1055.5555419921875,200607.40625,0.0,0.0,0.0,8.947179848195557,9.69374224585652,0.0,0.0,10.378141242145457,35603.703125,2.517127193013505,6.608999751719947,8.947179848195557,0.0,365,0.0,2012,2920.0,29.0,1.0,3,0,0.2366750319159725,0.18286215194476146,0.3421270787099502,2000,12.0,2
1329,8800.0,27444.4453125,0.0,0.0,0.0,10.138452826122128,7.757067014179361,0.0,9.954087369218902,12.128736921709255,29492.591796875,12.341352274723226,9.315790903113744,10.138452826122128,0.0,365,0.0,2012,5610.0,56.0,3.0,3,1,0.11314320488334031,0.009074439573378215,0.43076513148773116,2000,12.0,0
1347,0.0,12611.111328125,0.0,0.0,0.0,0.0,7.103169764198996,0.0,0.0,10.392098241730961,0.0,2.436279512878566,7.524481248257534,0.0,0.0,365,0.0,2012,5610.0,56.0,3.0,2,1,0.9641751443606406,0.03225453910006535,1.9763986018015427,2009,3.0,1
1380,1392.5926513671875,13570.3701171875,0.0,0.0,0.0,9.526304785722646,7.797428179521817,70.37036895751953,0.0,10.66906476369469,23977.77734375,2.496704523907568,9.315790903113744,9.521160996623786,0.0,365,0.0,2012,5590.0,55.0,3.0,3,1,0.017451523495757404,0.03326180290901363,0.9631803471309186,2003,9.0,0
1399,133.3333282470703,5474.07421875,0.0,0.0,0.0,6.45839635115701,8.481965059791301,0.0,0.0,9.01741612510467,6055.5556640625,2.3879760685899996,7.524481248257534,6.45839635115701,0.0,365,0.0,2012,5630.0,56.0,3.0,3,1,0.6351010446749891,0.23392688910391202,0.9383885696996195,2010,2.0,2
1443,22066.666015625,243151.859375,0.0,10159.2587890625,10159.2587890625,12.468497725456059,10.93991375924396,1125.9259033203125,10.57541768019019,12.67293785900339,212662.96875,13.09085948783132,10.519700640815572,12.19152792897556,0.0,365,0.0,2012,2825.0,28.0,2.0,2,1,0.2163409861806131,0.06769969329381519,0.6878079039880707,1990,22.0,1
1475,622.2222290039064,6292.5927734375,0.0,0.0,0.0,6.8318736306778485,8.855394122715575,0.0,0.0,7.698348363100876,0.0,2.322279249931145,5.917199843171274,6.8318736306778485,0.0,365,0.0,2012,2829.0,28.0,2.0,3,1,3.1586205642464353,0.6384413624001352,0.08037694225980536,2002,10.0,1
1528,537.0370483398438,3903.70361328125,0.0,0.0,0.0,8.097482688588027,8.663868342726747,0.0,0.0,9.087239105798798,485.1851806640625,2.367758248958104,7.524481248257534,8.097482688588027,0.0,365,0.0,2012,3011.0,30.0,1.0,2,1,0.03584905497577111,0.3461538508816905,0.5928411831877325,2007,5.0,0
1556,2533.333251953125,31081.482421875,0.0,0.0,0.0,7.93640865352245,8.020185236660852,0.0,0.0,10.384457443262237,10344.4443359375,2.46533417388008,9.315790903113744,7.93640865352245,0.0,365,0.0,2012,3312.0,33.0,2.0,1,1,28.50364936548542,0.05752868612496898,0.030880196724822864,2006,6.0,0
1621,351.8518371582031,29229.62890625,0.0,0.0,0.0,0.0,9.383132126344472,0.0,0.0,9.681563167404683,26244.4453125,2.4772796736928435,6.608999751719947,0.0,0.0,365,0.0,2012,3320.0,33.0,2.0,3,1,0.4602036987066949,0.2062749940643899,0.5058194963037138,2007,5.0,1
1645,481.4814758300781,1438003.75,0.0,66.66666412353516,66.66666412353516,12.984022724518578,9.738628225597997,0.0,12.361353958272511,9.824378181954447,7107.4072265625,15.019481462288406,11.435975236275645,12.984022724518578,0.0,365,0.0,2012,2825.0,28.0,2.0,3,1,0.5797059060121372,0.004082231148877277,0.6257852765556254,2011,7.0,0
1663,1255.5555419921875,1522.22216796875,0.0,0.0,0.0,10.740435975931206,8.333332677597662,0.0,0.0,8.489608794222368,696.2963256835938,2.3335141204192316,8.910370746003398,10.740435975931206,0.0,365,0.0,2012,5510.0,55.0,3.0,2,1,0.006087437725396037,0.33756258905528436,0.4727891247977188,1992,20.0,1
1726,14633.3330078125,58207.40625,0.0,0.0,0.0,10.037479227398121,7.303967834380466,0.0,9.021003169238275,11.569980119087045,18440.740234375,2.5549844034014675,9.315790903113744,10.037479227398121,0.0,365,0.0,2012,3312.0,33.0,2.0,3,1,0.721633675768049,0.0,0.4273341699233658,2006,6.0,0
1733,992.5925903320312,53366.66796875,0.0,0.0,0.0,8.34219587954851,10.21304931015735,0.0,6.5472104648650165,10.947504775208628,11348.1484375,2.524798396774001,7.524481248257534,8.34219587954851,0.0,365,0.0,2012,2670.0,26.0,2.0,2,1,0.6063579797348397,0.25298919546777004,0.9627411825706124,2010,2.0,2
1744,0.0,8359.2587890625,0.0,0.0,0.0,6.3672974361764645,8.421065636636358,0.0,0.0,6.6904741032115105,370.370361328125,2.269184999672594,7.524481248257534,6.3672974361764645,0.0,365,0.0,2012,5630.0,56.0,3.0,1,1,3.180124013802239,0.7396825407454648,0.07226212458709551,2010,2.0,0
1768,292.59259033203125,16266.6669921875,0.0,0.0,0.0,0.0,9.192127373129082,0.0,6.46993916167031,9.797153364228175,503.7037048339844,2.422482130553773,7.706712849577192,0.0,0.0,365,0.0,2012,5610.0,56.0,3.0,2,1,3.189600232284387,0.30537084100606127,0.4218696996436559,2011,1.0,1
1779,3233.333251953125,60514.81640625,0.0,0.0,0.0,9.059203002383748,9.360122763549002,0.0,0.0,10.73569355809757,42440.7421875,2.530263160999531,9.315790903113744,9.059203002383748,0.0,365,0.0,2012,3314.0,33.0,2.0,3,1,0.7403642506064304,0.011094962884990277,0.6017330797519714,2005,7.0,2
1870,12800.0,28714.814453125,0.0,64814.81640625,64814.81640625,11.792750934674014,7.741099090035366,0.0,8.766521305833344,12.25456767686648,92051.8515625,12.44359045294163,7.9163482979038555,11.792750934674014,0.0,365,0.0,2012,5610.0,56.0,3.0,3,1,2.1810017686949714,0.0065423428303520575,-3.4745483049882475,1989,23.0,0
1899,237.0370330810547,18159.259765625,0.0,0.0,0.0,6.536530593349115,10.338184181887842,0.0,0.0,8.095226019755426,6966.66650390625,2.455511386901638,5.917199843171274,6.536530593349115,0.0,365,0.0,2012,5630.0,56.0,3.0,2,1,1.0694627405933987,0.6937559897086,8.95890337271018,2003,9.0,0
1912,3437.037109375,23959.259765625,2.971363678917776,0.0,-18.518518447875977,8.516652322516771,8.264229775954758,0.0,7.824445930877619,10.767569933328131,33500.0,2.5173526112570412,7.524481248257534,8.516652322516771,0.0,365,0.0,2012,2893.0,28.0,2.0,2,1,0.8614517491836398,0.04105938085092646,0.6284107226630056,1990,22.0,1
1946,24803.703125,676059.25,0.0,0.0,0.0,13.438844892254991,10.162322836050423,0.0,9.923157664925144,13.70398405774574,377851.84375,14.147412276375999,9.578134372962893,13.398924180909933,0.0,365,0.0,2012,5610.0,56.0,3.0,1,1,0.5509123982017884,0.01756157648557676,0.38433194964866557,1996,16.0,0
1954,203.7037048339844,25633.333984375,0.0,0.0,0.0,7.037060116183306,8.072374888723264,1137.0369873046875,3.731477671729219,10.899155458165245,6166.66650390625,2.488231993652969,8.217358538114986,0.0,0.0,365,0.0,2012,3312.0,33.0,2.0,2,1,0.18434316886503516,0.04570579450625989,-4.44682865407953,2009,3.0,1
1991,3340.74072265625,8985.185546875,0.0,0.0,0.0,11.670444105238994,7.382999743921419,0.0,8.025043961003423,10.896826416661277,21788.888671875,2.514192750551106,9.351798141248747,11.670444105238994,0.0,365,0.0,2012,5610.0,56.0,3.0,1,1,0.30279986182973523,0.01693153759392418,0.6446078045462952,2002,10.0,0
2029,348.1481628417969,79751.8515625,3.6385603402098208,0.0,-37.03703689575195,6.987011319140829,8.70460666147684,0.0,9.720781507773646,11.607031795438635,15896.2958984375,2.5513928887397146,9.315790903113744,6.987011319140829,0.0,365,0.0,2012,2822.0,28.0,2.0,1,1,0.19710309907182907,0.03933635345227387,0.9385996422459427,2002,10.0,0
2135,7.407407283782959,2674.073974609375,0.0,0.0,0.0,5.743359260632238,7.726506717564151,0.0,7.3714194286325485,10.400807896991362,7259.25927734375,2.4561550684874343,5.917199843171274,5.743359260632238,0.0,365,0.0,2012,5630.0,56.0,3.0,3,0,0.12855113150905983,0.04789222230044908,-0.2549800894784511,2005,7.0,2
2227,2774.073974609375,30566.666015625,8.112028013910331,0.0,-3333.333251953125,8.846907221400206,7.260678712374746,0.0,9.951266603023791,10.407318772389159,7062.962890625,2.4705429795628633,8.910370746003398,8.846907221400206,0.0,365,0.0,2012,2893.0,28.0,2.0,1,1,0.4892011189993362,0.023636498672021215,0.8884127710311466,1991,21.0,0
2239,0.0,2725451.75,0.0,0.0,0.0,12.279379376016577,11.873916627496365,132570.375,14.04463995828488,8.053710442441961,0.0,0.0,10.1026829504096,11.322270185220628,0.0,365,0.0,2012,2910.0,29.0,1.0,1,1,4.175878168224905e-06,0.0,-2.9685063470773154,1992,20.0,0
2247,4522.22216796875,23722.22265625,0.0,0.0,0.0,9.719891903180844,9.736879621882595,0.0,8.889150056807265,11.24147008721329,36907.40625,2.545425333705671,9.133487274232706,9.719891903180844,0.0,365,0.0,2012,2811.0,28.0,2.0,3,1,1.4449686174493435,0.1270445082647793,0.2179077202620819,2007,5.0,2
2348,4314.81494140625,5411.111328125,0.0,0.0,0.0,9.579159392444897,7.718306842789524,0.0,5.694729268325382,11.38653343703795,32222.22265625,2.546764726046519,5.917199843171274,9.579159392444897,0.0,365,0.0,2012,5610.0,56.0,3.0,1,1,0.44624322870080807,0.015474889959499829,1.1357850466348645,2002,10.0,0
2370,3277.77783203125,4796.29638671875,0.0,0.0,0.0,5.472426262747769,8.506970709275455,0.0,0.0,9.11001652165735,6237.037109375,2.373969283290313,9.315790903113744,5.472426262747769,0.0,365,0.0,2012,5530.0,55.0,3.0,3,1,14.656716742801306,0.276772067551983,0.051857586393102326,2002,10.0,0
2403,3125.926025390625,6562.962890625,0.0,0.0,0.0,13.196977801646682,9.525764589772573,8592.5927734375,1.5483502073130806,9.180366005860868,0.0,2.430839071111078,9.469928701763127,13.18089970259936,0.0,365,0.0,2012,5510.0,55.0,3.0,3,1,0.042846943806883475,0.40646813855447816,0.08653826057318512,2011,1.0,1
2427,140.74073791503906,1051.851806640625,0.0,0.0,0.0,8.36055674233127,8.471940109117387,0.0,6.464184363326148,11.189463677335302,13222.22265625,2.495380884511142,6.608999751719947,8.36055674233127,0.0,365,0.0,2012,5610.0,56.0,3.0,1,1,0.017782762805299897,0.06596521584035586,-1.299333893681831,1997,15.0,0
2460,800.0,14670.3701171875,5.917199843171274,0.0,-370.370361328125,8.105341054793056,8.994241407201262,0.0,0.0,11.389429088439003,29870.37109375,2.542340567118923,7.524481248257534,8.105341054793056,0.0,365,0.0,2012,5629.0,56.0,3.0,3,1,0.47647562935310955,0.06229268767538541,0.31714594717863936,2011,1.0,2
2474,118.51851654052734,3711.111083984375,0.0,0.0,0.0,8.647096746741159,7.937731775260109,0.0,7.976633555561656,9.823576159482638,18703.703125,2.451440357100832,5.917199843171274,8.647096746741159,0.0,365,0.0,2012,5610.0,56.0,3.0,3,1,0.0978704105921781,0.06592599746220348,6.6475904302199735,1999,13.0,1
2485,6140.74072265625,39848.1484375,0.0,11111.111328125,11111.111328125,10.31648838830027,7.944321424068818,0.0,8.935547724394802,12.313552086554198,75992.59375,12.590443598929568,9.315790903113744,10.31648838830027,0.0,365,0.0,2012,5610.0,56.0,3.0,3,1,0.3219422030151621,0.008271444796498995,4.742803597619561,2000,12.0,1
2507,5418.5185546875,35311.109375,0.0,0.0,0.0,11.830901468358677,10.881693249845796,1240.74072265625,7.897255176581738,12.009725817830846,61651.8515625,12.587792213266793,8.043056580028948,11.821832635981941,0.0,365,0.0,2012,5610.0,56.0,3.0,3,1,0.6517693150420397,0.1726064903864616,0.29980858703079616,1995,17.0,1
2523,6348.14794921875,2214429.75,0.0,0.0,0.0,10.275213272543526,13.051203651053545,0.0,8.025043961003423,13.918946835963723,72244.4453125,14.310742479469136,7.524481248257534,10.275213272543526,0.0,365,0.0,2012,2893.0,28.0,2.0,3,1,0.02601169361656864,0.0014220031028838833,8.35865029754887,2010,2.0,0
2543,30870.37109375,230044.4375,0.0,12922.22265625,12922.22265625,11.488529187374555,9.921885816418117,0.0,10.739392946431103,13.630631358188213,255311.109375,13.891717727047297,9.315790903113744,11.488529187374555,0.0,365,0.0,2012,5610.0,56.0,3.0,2,1,0.11158399886743382,0.01668268280198914,3.299965455356855,2001,11.0,1
2555,103.70369720458984,18733.333984375,0.0,0.0,0.0,9.047503262268865,7.849309344700643,0.0,8.504723184938653,4.979794176916852,3085.185302734375,2.2625920371559287,11.2128343216482,9.047503262268865,0.0,365,0.0,2012,2932.0,29.0,1.0,2,1,35.35999978906249,0.42151556199214624,0.01350256551388247,1995,7.0,0
2567,0.0,25833.333984375,0.0,0.0,0.0,0.0,7.0272487650463376,0.0,0.0,5.265755901031692,0.0,2.1033298701553944,9.315790903113744,0.0,0.0,365,0.0,2012,3320.0,33.0,2.0,3,1,89.37179266559065,0.0,0.011309264380725506,1995,7.0,2
2587,259.2592468261719,388.8888854980469,0.0,0.0,0.0,0.0,7.792853407892027,0.0,0.0,9.025914336694955,4129.62939453125,2.3629990106555616,7.524481248257534,0.0,0.0,365,0.0,2012,5610.0,56.0,3.0,3,0,0.5955882339576536,0.14418832740545784,-4.387096902805614,2011,1.0,2
2595,655.5555419921875,11774.07421875,0.0,55.55555725097656,55.55555725097656,6.588824551184202,6.919793610606457,0.0,8.442046518942373,11.692690370899157,37707.40625,2.5636590003832502,3.6385603402098208,6.588824551184202,0.0,365,0.0,2012,5630.0,56.0,3.0,3,1,1.6546572781255109,0.005322472753193106,0.48016881453564153,2006,6.0,2
2626,32559.259765625,76100.0,4.318475276683786,0.0,-74.0740737915039,12.508893337706514,9.996820992946033,370.370361328125,8.586076447520643,12.21580791613083,51711.109375,12.6540681879439,9.315790903113744,12.507524362607953,0.0,365,0.0,2012,2932.0,29.0,1.0,2,1,0.00938367396750137,0.06681337586141732,0.3244290026134592,2006,6.0,2
2670,0.0,6718.5185546875,0.0,0.0,0.0,0.0,7.316351304217764,0.0,8.452374110092004,10.941685788850611,30418.517578125,2.5175605981693594,4.318475276683786,0.0,0.0,365,0.0,2012,5610.0,56.0,3.0,2,1,0.5619242635606821,0.015077256048310611,-0.1300412637888143,2001,11.0,2
2679,307.40740966796875,2737.037109375,0.0,0.0,0.0,0.0,6.93071197501292,0.0,0.0,8.004229459958479,3096.29638671875,2.293833639946109,7.524481248257534,0.0,0.0,365,0.0,2012,5629.0,56.0,3.0,3,1,13.196428776371233,0.12369077212858033,0.08199121582749297,2011,1.0,2
